date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:16	151/151	---MCZ	200	added ('OK')	text/plain	date:Thu,%2009%20Jan%202025%2009:14:47%20GMT	https://brandio.io/robots.txt		(from )
14:44:17	2514/2514	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202024%2021:49:00%20GMT	https://brandio.io/envato/iofrm/html/login32.html	C:/My%20Web%20Sites/login/brandio.io/envato/iofrm/html/login32.html	(from )
14:44:19	232803/232803	---MCZ	200	added ('OK')	text/css	date:Thu,%2008%20Aug%202024%2021:49:00%20GMT	https://brandio.io/envato/iofrm/html/css/bootstrap.min.css	C:/My%20Web%20Sites/login/brandio.io/envato/iofrm/html/css/bootstrap.min.css	(from https://brandio.io/envato/iofrm/html/login32.html)
14:44:20	36599/36599	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Aug%202024%2021:49:00%20GMT	https://brandio.io/envato/iofrm/html/css/fontawesome-all.min.css	C:/My%20Web%20Sites/login/brandio.io/envato/iofrm/html/css/fontawesome-all.min.css	(from https://brandio.io/envato/iofrm/html/login32.html)
14:44:21	50890/50890	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Aug%202024%2021:49:00%20GMT	https://brandio.io/envato/iofrm/html/css/iofrm-style.css	C:/My%20Web%20Sites/login/brandio.io/envato/iofrm/html/css/iofrm-style.css	(from https://brandio.io/envato/iofrm/html/login32.html)
14:44:21	14516/14516	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Aug%202024%2021:49:00%20GMT	https://brandio.io/envato/iofrm/html/css/iofrm-theme38.css	C:/My%20Web%20Sites/login/brandio.io/envato/iofrm/html/css/iofrm-theme38.css	(from https://brandio.io/envato/iofrm/html/login32.html)
14:44:21	15873/15873	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202024%2021:49:00%20GMT	https://brandio.io/envato/iofrm/html/index.html	C:/My%20Web%20Sites/login/brandio.io/envato/iofrm/html/index.html	(from https://brandio.io/envato/iofrm/html/login32.html)
14:44:22	3569/3569	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2008%20Aug%202024%2021:49:00%20GMT	https://brandio.io/envato/iofrm/html/images/logo-light.svg	C:/My%20Web%20Sites/login/brandio.io/envato/iofrm/html/images/logo-light.svg	(from https://brandio.io/envato/iofrm/html/login32.html)
14:44:22	2617/2617	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202024%2021:49:00%20GMT	https://brandio.io/envato/iofrm/html/register32.html	C:/My%20Web%20Sites/login/brandio.io/envato/iofrm/html/register32.html	(from https://brandio.io/envato/iofrm/html/login32.html)
14:44:22	86927/86927	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2008%20Aug%202024%2021:49:00%20GMT	https://brandio.io/envato/iofrm/html/js/jquery.min.js	C:/My%20Web%20Sites/login/brandio.io/envato/iofrm/html/js/jquery.min.js	(from https://brandio.io/envato/iofrm/html/login32.html)
14:44:22	21233/21233	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2008%20Aug%202024%2021:49:00%20GMT	https://brandio.io/envato/iofrm/html/js/popper.min.js	C:/My%20Web%20Sites/login/brandio.io/envato/iofrm/html/js/popper.min.js	(from https://brandio.io/envato/iofrm/html/login32.html)
14:44:23	80721/80721	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2008%20Aug%202024%2021:49:00%20GMT	https://brandio.io/envato/iofrm/html/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/login/brandio.io/envato/iofrm/html/js/bootstrap.bundle.min.js	(from https://brandio.io/envato/iofrm/html/login32.html)
14:44:23	948/948	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2008%20Aug%202024%2021:49:00%20GMT	https://brandio.io/envato/iofrm/html/js/main.js	C:/My%20Web%20Sites/login/brandio.io/envato/iofrm/html/js/main.js	(from https://brandio.io/envato/iofrm/html/login32.html)
14:44:23	99704/99704	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2008%20Aug%202024%2021:49:00%20GMT	https://brandio.io/envato/iofrm/html/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/login/brandio.io/envato/iofrm/html/webfonts/fa-brands-400.eot	(from https://brandio.io/envato/iofrm/html/css/fontawesome-all.min.css)
